product_id,product_name,category,brand,description,tags,price,rating,review_count,combined_text
P0001,Asian Men's Casual Sneaker Variant 1,Shoes,Puma,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,2580,4.1,2500,Asian Men's Casual Sneaker Variant 1 Shoes Puma Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0002,Asian Men's Casual Sneaker Variant 2,Shoes,Asics,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,3719,4.1,2500,Asian Men's Casual Sneaker Variant 2 Shoes Asics Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0003,Asian Men's Casual Sneaker Variant 3,Shoes,Skechers,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,4238,4.1,2500,Asian Men's Casual Sneaker Variant 3 Shoes Skechers Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0004,Asian Men's Casual Sneaker Variant 4,Shoes,Skechers,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,1815,4.1,2500,Asian Men's Casual Sneaker Variant 4 Shoes Skechers Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0005,Asian Men's Casual Sneaker Variant 5,Shoes,Reebok,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,1755,4.1,2500,Asian Men's Casual Sneaker Variant 5 Shoes Reebok Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0006,Asian Men's Casual Sneaker Variant 6,Shoes,New Balance,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,5794,4.1,2500,Asian Men's Casual Sneaker Variant 6 Shoes New Balance Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0007,Asian Men's Casual Sneaker Variant 7,Shoes,Puma,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,3271,4.1,2500,Asian Men's Casual Sneaker Variant 7 Shoes Puma Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0008,Asian Men's Casual Sneaker Variant 8,Shoes,Nike,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,3930,4.1,2500,Asian Men's Casual Sneaker Variant 8 Shoes Nike Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0009,Asian Men's Casual Sneaker Variant 9,Shoes,Nike,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,5287,4.1,2500,Asian Men's Casual Sneaker Variant 9 Shoes Nike Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0010,Asian Men's Casual Sneaker Variant 10,Shoes,Nike,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,6007,4.1,2500,Asian Men's Casual Sneaker Variant 10 Shoes Nike Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0011,Asian Men's Casual Sneaker Variant 11,Shoes,Nike,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,2100,4.1,2500,Asian Men's Casual Sneaker Variant 11 Shoes Nike Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0012,Asian Men's Casual Sneaker Variant 12,Shoes,Asics,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,7500,4.1,2500,Asian Men's Casual Sneaker Variant 12 Shoes Asics Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0013,Asian Men's Casual Sneaker Variant 13,Shoes,Nike,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,3032,4.1,2500,Asian Men's Casual Sneaker Variant 13 Shoes Nike Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0014,Asian Men's Casual Sneaker Variant 14,Shoes,Adidas,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,7561,4.1,2500,Asian Men's Casual Sneaker Variant 14 Shoes Adidas Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0015,Asian Men's Casual Sneaker Variant 15,Shoes,Puma,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,6741,4.1,2500,Asian Men's Casual Sneaker Variant 15 Shoes Puma Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0016,Asian Men's Casual Sneaker Variant 16,Shoes,Adidas,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,6317,4.1,2500,Asian Men's Casual Sneaker Variant 16 Shoes Adidas Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0017,Asian Men's Casual Sneaker Variant 17,Shoes,Nike,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,5762,4.1,2500,Asian Men's Casual Sneaker Variant 17 Shoes Nike Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0018,Asian Men's Casual Sneaker Variant 18,Shoes,Skechers,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,6519,4.1,2500,Asian Men's Casual Sneaker Variant 18 Shoes Skechers Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0019,Asian Men's Casual Sneaker Variant 19,Shoes,Puma,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,4931,4.1,2500,Asian Men's Casual Sneaker Variant 19 Shoes Puma Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
